0,1,2,3,4,5,6,7,8,9,10,11,12,label
-113.502235,125.793976,-74.25352,14.798347,-58.1345,8.24375,-15.04547,7.5100913,-22.89378,11.801899,9.6085415,-4.1934257,0.43128797,yes
-58.442204,150.764,-68.73017,30.2631,-45.74746,3.788751,-22.763174,12.987599,-22.590363,2.575455,3.8578186,-7.3867707,6.8481,yes
-56.28427,158.05661,-85.33117,37.35918,-43.473476,15.349462,-28.020876,10.911098,-16.613363,4.977327,-2.1016207,-8.808502,2.9051306,yes
-58.29291,159.68958,-76.94032,28.31507,-45.80801,6.717138,-20.489517,9.241465,-14.391722,6.795132,0.030037396,-6.6497006,2.459575,yes
-206.41971,181.74405,-68.81622,31.93554,-36.52125,-2.7913702,-22.759552,8.247073,-20.687468,-0.60325485,1.1952919,-4.94648,8.676706,yes
-185.55757,183.47978,-74.589935,30.14088,-40.03607,-6.025189,-27.855156,7.7301693,-18.947468,-2.33763,0.8991122,-3.587444,5.620928,yes
-176.19882,182.13916,-75.4735,26.96603,-40.43539,-8.479515,-27.492006,3.2783992,-18.697006,-0.59327,1.3481116,-0.0608571,6.4533634,yes
-80.18896,131.50562,-92.13095,47.03574,-39.487522,4.533006,-43.233467,13.670042,-18.51135,-0.46352035,-5.4552255,-7.0946064,9.564234,yes
-65.55763,142.2685,-87.77583,40.254356,-42.599133,9.666145,-38.87608,12.222588,-17.843882,6.5646195,-1.5741317,-8.720379,6.468009,yes
-141.45204,143.95119,-76.29114,-4.912352,-70.45574,-5.3699894,-7.3021045,-3.494158,-29.993174,10.206983,6.0451,-6.058365,5.397762,yes
-102.94965,150.34259,-70.41772,25.358883,-45.142548,4.53404,-23.970577,6.9463463,-25.363369,0.10303298,-1.3558029,-8.899881,4.429232,yes
-72.65738,146.46841,-87.45828,32.85023,-41.545055,8.664742,-31.166023,2.8163502,-18.265577,1.5872976,-3.6530008,-9.646341,1.2641983,yes
-67.56101,149.5712,-90.494,35.374985,-50.390873,9.153352,-35.486492,3.7044291,-17.993227,1.65639,-1.08835,-6.5343366,2.8759682,yes
-81.90029,147.6902,-85.67727,27.948723,-46.96227,8.843613,-34.43515,2.1556063,-16.586763,-0.21309169,-1.0061985,-9.19948,2.428135,yes
-66.866104,131.90012,-80.05548,47.89078,-62.256554,7.4503264,-16.885937,21.868013,-12.1780405,0.9316845,4.6864204,0.6871263,11.577197,yes
-87.63197,125.493645,-80.39597,43.023586,-58.9886,-2.413461,-10.075959,17.26602,-10.092273,0.6611539,0.7197904,0.8285985,11.404237,yes
-76.731445,130.50934,-71.22575,44.54641,-62.623325,4.689865,-16.330086,21.31524,-10.563473,-4.041321,5.2120137,4.8988547,12.930565,yes
-83.38257,123.23364,-72.27157,42.862755,-63.09731,-0.568323,-11.461527,19.667366,-10.406954,-3.1544967,6.344024,2.912172,13.282317,yes
-95.96998,114.157196,-96.29573,67.59048,-34.64842,14.381284,-32.97354,14.207242,-3.6299586,0.69546664,3.973606,-0.5580544,6.2148194,yes
-98.57882,119.56754,-93.07267,61.183426,-45.937965,15.226699,-25.979975,13.667627,-1.7037302,4.245323,4.1844554,-0.85551846,4.506801,yes
-75.32732,112.84364,-93.93873,70.33857,-43.866425,17.045717,-34.12497,17.388746,-5.428994,-2.8046532,6.462165,-1.478328,7.397865,yes
-97.02034,116.43176,-91.30426,57.66792,-43.960667,15.227317,-32.51679,16.934244,-0.18470013,4.005175,6.922457,-1.4781997,3.6231248,yes
-82.37414,105.46656,-85.09023,51.33786,-43.07228,8.593085,-30.73468,20.623667,1.3995953,-0.6332131,8.920457,-3.7764118,1.497551,yes
-81.71895,120.35135,-85.79692,68.935715,-43.382633,16.77453,-34.042427,21.552675,-3.798484,-3.8912168,7.7653213,2.0478094,9.018716,yes
-96.100914,93.37489,-78.78313,91.10655,-43.2461,36.399715,-36.764236,35.06702,-0.26423094,-6.286389,8.130817,2.109689,5.5592628,yes
-60.866863,119.904976,-89.64124,65.03124,-50.795662,20.723919,-30.895355,22.015495,-1.2092476,2.0483108,8.463772,2.2630482,8.145435,yes
-57.287514,129.19138,-79.00101,49.325848,-63.328125,9.58075,-25.690178,20.932858,-7.7306824,-6.332281,7.4159913,1.4891933,8.436032,yes
-88.295494,122.79097,-76.65822,41.162228,-62.828697,2.7719564,-13.908583,15.1338625,-3.9253464,-0.28937072,5.8727474,3.888652,7.0662093,yes
-98.774254,127.10972,-68.22239,28.544472,-64.12571,0.96838623,-8.857848,7.8264403,-8.470074,-1.2819427,8.386412,5.17328,9.430284,yes
-100.724915,113.369675,-81.95392,62.99906,-44.213913,11.405688,-29.179398,20.345972,-5.666374,-6.99809,3.5378509,-1.5248054,9.205294,yes
-87.37294,113.92712,-99.92819,66.71974,-49.435448,20.99702,-39.370857,21.919233,-2.3276024,-0.030881912,7.924363,-5.1601167,4.0656486,yes
-60.800255,113.60509,-102.508026,40.074467,-60.364838,11.072374,-34.16419,21.635603,5.3906646,5.3711615,3.2124329,-6.8136783,3.4198778,yes
-103.12461,101.455666,-110.03912,37.56987,-49.96359,4.2219625,-34.211464,15.75576,2.5606902,7.2175813,3.3542297,-12.418771,-0.66447556,yes
-96.1414,105.84079,-98.64635,66.71087,-45.136673,16.300383,-45.108067,19.693602,-8.397697,-5.8417015,6.8244824,-4.2789793,4.817715,yes
-71.848885,117.43194,-81.832664,58.81947,-34.315414,9.587804,-37.7912,19.701378,-7.5512114,-2.2392836,8.373235,-0.73945934,6.3875775,yes
-55.238125,127.885864,-68.01831,63.380543,-51.959312,16.487223,-20.517157,24.859905,-16.687925,11.255624,5.073732,-2.442732,12.446814,yes
-76.550995,152.82286,-69.879776,38.544613,-71.806496,-9.060501,-5.64534,14.843014,-27.557804,3.940641,4.1167307,-1.2287753,14.973109,yes
-79.11021,139.31308,-77.70395,23.948156,-64.286156,-4.2473974,-10.263088,7.139645,-19.738054,9.9613285,8.507563,-3.7485924,3.05412,yes
-84.629265,148.04124,-71.4808,19.719055,-70.74444,-3.7327716,-11.502646,3.9155667,-24.729671,5.2555156,8.738701,1.1980065,5.5662103,yes
-93.02691,133.50377,-65.60733,52.13486,-45.130836,9.148589,-27.926336,16.882057,-18.204748,1.2794466,2.130707,-3.9443398,9.46971,yes
-69.94368,125.07875,-86.78872,56.767864,-38.883347,19.049551,-34.474438,13.924083,-11.851816,6.5056896,2.5940688,-7.971428,1.5168653,yes
-70.17607,122.71785,-84.1321,62.819946,-37.81991,16.28119,-41.07087,13.164521,-10.852044,5.639849,-0.48665917,-5.412421,6.189087,yes
-75.74192,132.91422,-83.604034,54.949833,-40.88737,17.104256,-35.769382,13.993046,-12.618406,8.196464,3.486469,-7.511202,3.4176736,yes
-79.781944,142.70145,-82.64222,38.109253,-63.895863,16.780472,-35.918327,22.16953,-3.1297743,12.359692,5.6291904,-5.521754,8.753038,yes
-88.27416,126.95075,-68.399025,66.30146,-50.028015,20.584438,-29.348927,22.938128,-12.681395,4.394968,3.2611675,-4.027155,14.465632,yes
-97.624756,127.6299,-67.17523,76.35254,-34.237858,29.548674,-40.63723,23.471502,-11.503693,7.8503923,4.51279,-2.9498749,11.415388,yes
-90.8195,163.03441,-73.592834,20.383575,-64.48989,-22.286163,-3.1247666,7.752627,-31.551254,2.1356776,-0.30649966,-6.5466948,12.22782,yes
-87.07889,154.43694,-92.47248,7.0988703,-69.965195,-16.963633,-8.208601,-1.1464344,-26.029337,6.622334,1.2765704,-5.951415,2.079187,yes
-86.01843,164.12253,-92.8957,5.480981,-69.512314,-17.737514,-7.1495204,-5.3555956,-31.237688,4.300966,0.9051766,-4.2069926,4.185066,yes
-90.80078,154.69577,-78.627525,22.964653,-53.13128,-3.8931491,-17.39405,4.9826007,-21.910097,-2.7688951,-2.5967557,0.38995162,8.16176,yes
-61.53548,145.49368,-94.31107,45.512486,-30.489857,15.563615,-30.651539,10.655642,-13.885968,1.5465698,-1.4263121,-6.1970057,7.114088,yes
-75.08425,153.52368,-90.98198,42.107796,-28.864262,9.295459,-33.083683,7.079962,-6.112027,9.660684,0.21022503,-5.1563478,6.264393,yes
-88.55897,189.70697,-73.79308,33.404778,-29.571579,6.4472156,-17.134844,16.349516,-9.095298,5.845178,1.6373405,1.2304599,12.379895,yes
-76.82551,192.91066,-77.546844,37.929592,-34.545612,11.750153,-21.872957,18.014366,-9.428657,4.0899305,1.8478949,6.637425,14.664449,yes
-76.45332,183.46147,-85.85294,46.576855,-18.178865,15.109429,-26.573309,19.461294,-6.071503,1.9684678,-3.3284292,0.4891266,11.954658,yes
-58.08948,160.23161,-94.61823,45.382324,-21.523088,22.081938,-33.55608,22.962631,-6.5658135,9.027599,-2.31909,-8.143222,8.262365,yes
-62.89551,165.43883,-88.975464,47.578396,-24.383219,19.568785,-32.020817,25.690039,-5.097972,10.013161,-0.5285201,-5.21279,11.69559,yes
-50.104973,164.72888,-89.78119,53.248985,-20.440907,26.669392,-35.839584,25.948952,-6.1276965,7.2681184,-2.4759593,-6.9254894,7.10329,yes
-138.33846,181.60641,-56.90323,33.16554,8.600507,14.314408,-22.149616,7.841503,5.381116,3.2787757,-4.0378942,0.6431428,-2.8808506,yes
-71.36122,177.72266,-67.19783,36.818974,-9.357408,19.962729,-28.427284,15.466024,-13.567137,10.693054,1.5172821,-7.9207397,3.3102503,yes
-97.80162,181.28621,-68.44105,24.913696,-0.1106362,13.468823,-15.582892,8.389367,0.68201977,3.4740877,-2.294562,-3.510823,-5.5957313,yes
-97.675,183.67621,-57.701496,15.472203,-42.3794,3.6649752,-2.8204553,12.842092,-15.788971,3.822753,7.329795,-2.5110996,9.453967,yes
